SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
050,10,005,Delaware,Sussex County,4,7,10328,5238,5090,4162,3987,780,824,125,93,84,64,19,16,68,106,4218,4078,817,886,148,137,97,80,28,22,4284,4293,3392,3361,741,767,16,19,81,59,2,4,52,83,3436,3432,768,815,33,52,91,73,9,8,954,797,770,626,39,57,109,74,3,5,17,12,16,23,782,646,49,71,115,85,6,7,19,14
050,10,005,Delaware,Sussex County,4,8,9987,4887,5100,3951,4079,677,726,94,96,85,111,16,15,64,73,4002,4140,713,767,125,129,97,121,20,19,4031,4423,3249,3547,631,686,17,26,83,105,8,3,43,56,3282,3596,657,717,36,51,92,112,11,6,856,677,702,532,46,40,77,70,2,6,8,12,21,17,720,544,56,50,89,78,5,9,9,13
050,10,005,Delaware,Sussex County,4,9,11555,5695,5860,4630,4739,821,910,90,67,82,86,10,7,62,51,4679,4780,853,938,125,90,92,96,14,10,5078,5360,4133,4325,781,882,29,21,78,84,3,4,54,44,4174,4360,808,905,61,43,87,93,6,6,617,500,497,414,40,28,61,46,4,2,7,3,8,7,505,420,45,33,64,47,5,3,8,4
050,10,005,Delaware,Sussex County,4,10,13672,6717,6955,5533,5677,935,1020,98,68,83,105,6,3,62,82,5580,5745,959,1060,138,114,93,117,11,10,6330,6598,5220,5386,909,991,63,43,80,103,2,1,56,74,5262,5447,931,1024,98,87,89,113,7,7,387,357,313,291,26,29,35,25,3,2,4,2,6,8,318,298,28,36,40,27,4,4,4,3
050,10,005,Delaware,Sussex County,4,11,14688,6999,7689,5891,6446,891,1035,82,47,82,86,3,6,50,69,5926,6500,909,1071,111,90,95,96,9,9,6713,7459,5656,6257,874,1016,59,38,77,83,1,3,46,62,5690,6306,889,1049,87,78,88,90,6,6,286,230,235,189,17,19,23,9,5,3,2,3,4,7,236,194,20,22,24,12,7,6,3,3
050,10,005,Delaware,Sussex County,4,12,14753,6910,7843,5986,6857,785,822,46,40,44,73,3,1,46,50,6024,6895,804,846,76,70,53,81,5,3,6705,7674,5808,6706,769,817,38,34,44,71,2,0,44,46,5844,6740,786,837,67,62,52,79,4,2,205,169,178,151,16,5,8,6,0,2,1,1,2,4,180,155,18,9,9,8,1,2,1,1
050,10,005,Delaware,Sussex County,4,13,16551,7750,8801,7034,7942,578,697,46,42,48,63,3,3,41,54,7065,7985,593,722,79,82,54,68,3,4,7615,8668,6911,7828,573,690,44,37,47,61,1,3,39,49,6940,7866,587,711,77,76,52,66,1,4,135,133,123,114,5,7,2,5,1,2,2,0,2,5,125,119,6,11,2,6,2,2,2,0
050,10,005,Delaware,Sussex County,4,14,14514,6921,7593,6396,6977,420,498,34,27,36,51,2,1,33,39,6426,7007,429,513,59,55,41,56,3,3,6819,7489,6311,6881,412,494,29,27,35,50,0,0,32,37,6340,6910,421,508,53,54,40,55,1,1,102,104,85,96,8,4,5,0,1,1,2,1,1,2,86,97,8,5,6,1,1,1,2,2
050,10,005,Delaware,Sussex County,4,15,10993,5308,5685,4883,5243,325,357,27,29,43,28,2,1,28,27,4908,5262,332,366,44,49,48,36,4,3,5232,5616,4815,5178,322,353,26,29,43,28,0,1,26,27,4838,5197,328,362,43,49,47,36,2,3,76,69,68,65,3,4,1,0,0,0,2,0,2,0,70,65,4,4,1,0,1,0,2,0
050,10,005,Delaware,Sussex County,4,16,7842,3736,4106,3491,3775,187,262,19,22,19,24,0,1,20,22,3510,3792,194,272,35,39,20,25,0,3,3688,4055,3447,3730,185,260,18,21,19,24,0,1,19,19,3465,3744,191,268,34,37,20,25,0,3,48,51,44,45,2,2,1,1,0,0,0,0,1,3,45,48,3,4,1,2,0,0,0,0
